Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.6966,-0.7448,8.6040,-0.2050,-0.1672,0.1078,8.3483,-0.2557,16.4916,FailureType.no_failure,-1.6951,FailureType.no_failure,0.6097,0.0000,16.5294,FailureType.no_failure,0.0016,FailureType.no_failure,0.5064,0.0000,0.0016,-1.6951,0.6097,0.0000,60.0,NO
Distance,2.75,-5,16.6205,-1.3428,8.5981,-0.1797,-0.0911,0.0000,8.3103,-0.2878,16.4408,FailureType.no_failure,-1.2459,FailureType.no_failure,0.6099,0.0000,16.5294,FailureType.no_failure,0.0014,FailureType.no_failure,0.5064,0.0000,0.0014,-1.2459,0.6099,0.0000,60.0,NO
Distance,2.75,-5,16.5282,-1.7302,8.5936,-0.1134,0.0013,0.0000,8.2641,-0.3295,16.4147,FailureType.no_failure,-0.7007,FailureType.no_failure,0.6100,0.0000,16.5294,FailureType.no_failure,0.0004,FailureType.no_failure,0.5065,0.0000,0.0004,-0.7007,0.6100,0.0000,60.0,NO
Distance,2.75,-5,16.4285,-1.9600,8.5925,-0.0226,0.1009,0.0000,8.2142,-0.3783,16.4059,FailureType.no_failure,-0.3016,FailureType.no_failure,0.6100,0.0000,16.5294,FailureType.no_failure,0.0019,FailureType.no_failure,0.5065,0.0000,0.0019,-0.3016,0.6100,0.0000,60.0,NO
Distance,2.75,-5,16.3426,-1.8625,8.5943,0.0664,0.1868,0.0000,8.1713,-0.4230,16.4090,FailureType.no_failure,-0.0254,FailureType.no_failure,0.6116,0.0000,16.5294,FailureType.no_failure,0.0014,FailureType.no_failure,0.5066,0.0000,0.0014,-0.0254,0.6116,0.0000,60.0,NO
Distance,2.75,-5,16.2870,-1.3596,8.5979,0.1333,0.2424,0.0000,8.1435,-0.4544,16.4203,FailureType.no_failure,0.1650,FailureType.no_failure,0.6130,0.0000,16.5294,FailureType.no_failure,-0.0012,FailureType.no_failure,0.5066,0.0000,0.1650,-0.0012,0.6130,0.0000,60.0,NO
Distance,2.75,-5,16.2577,-0.7774,8.6038,0.1796,0.2717,0.0000,8.1289,-0.4749,16.4373,FailureType.no_failure,0.2988,FailureType.no_failure,0.6145,0.0000,16.5294,FailureType.no_failure,0.0032,FailureType.no_failure,0.5066,0.0000,0.2988,0.0000,0.6145,0.0000,60.0,NO
Distance,2.75,-5,16.2469,-0.3505,8.6112,0.2115,0.2825,0.0000,8.1235,-0.4877,16.4584,FailureType.no_failure,0.3914,FailureType.no_failure,0.6160,0.0000,16.5294,FailureType.no_failure,-0.0004,FailureType.no_failure,0.5065,0.0000,0.3914,-0.0004,0.6160,0.0000,60.0,NO
Distance,2.75,-5,16.2489,-0.0547,8.6197,0.2334,0.2805,0.0000,8.1244,-0.4953,16.4823,FailureType.no_failure,0.4573,FailureType.no_failure,0.6159,0.0000,16.5294,FailureType.no_failure,0.0014,FailureType.no_failure,0.5065,0.0000,0.4573,0.0000,0.6159,0.0000,60.0,NO
Distance,2.75,-5,16.2598,0.1521,8.6292,0.2484,0.2696,0.0000,8.1299,-0.4993,16.5082,FailureType.no_failure,0.5035,FailureType.no_failure,0.6158,0.0000,16.5294,FailureType.no_failure,0.0020,FailureType.no_failure,0.5065,0.0000,0.5035,0.0000,0.6158,0.0000,60.0,NO
Distance,2.75,-5,16.2770,0.2958,8.6394,0.2584,0.2524,0.0000,8.1385,-0.5009,16.5354,FailureType.no_failure,0.5358,FailureType.no_failure,0.6157,0.0000,16.5294,FailureType.no_failure,-0.0009,FailureType.no_failure,0.5064,0.0000,0.5358,-0.0009,0.6157,0.0000,60.0,NO
