Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5.0,0.2891,-0.3185,-0.2566,0.3974,1.3631,FailureType.no_failure,FailureType.omission,2.1348,FailureType.omission,-1,-1,0.07889999999999997,FailureType.no_failure,0.0638,FailureType.no_failure,0.5387,0.0000,2.1348,0.0000,0.5617,0.0000,PA
Distance,2.75,-5.0,0.2941,-0.3288,-0.2741,0.45,1.3591,FailureType.no_failure,FailureType.omission,1.6963,FailureType.omission,-1,-1,0.12120000000000003,FailureType.no_failure,0.1507,FailureType.no_failure,0.5493,0.0000,1.6963,0.0000,0.5619,0.0000,PA
Distance,2.75,-5.0,0.2953,-0.3355,-0.2905,0.5027,1.355,FailureType.no_failure,FailureType.omission,1.3854,FailureType.omission,-1,-1,0.16720000000000002,FailureType.no_failure,0.1419,FailureType.no_failure,0.5558,0.0000,1.3854,0.0000,0.5627,0.0000,PA
Distance,2.75,-5.0,0.2941,-0.3398,-0.3062,0.5552,1.351,FailureType.no_failure,FailureType.omission,1.1669,FailureType.omission,-1,-1,0.21540000000000004,FailureType.no_failure,0.0738,FailureType.no_failure,0.5600,0.0000,1.1669,0.0000,0.5635,0.0000,PA
Distance,2.75,-5.0,0.2897,-0.3423,-0.3215,0.6075,1.3469,FailureType.no_failure,FailureType.omission,1.0098,FailureType.omission,-1,-1,0.26520000000000005,FailureType.no_failure,0.2982,FailureType.no_failure,0.5628,0.0000,1.0098,0.0000,0.5647,0.0000,PA
Distance,2.75,-5.0,0.2922,-0.3434,-0.3354,0.6596,1.3429,FailureType.no_failure,FailureType.omission,0.9001,FailureType.omission,-1,-1,0.3162,FailureType.no_failure,0.1056,FailureType.no_failure,0.5610,0.0000,0.9001,0.0000,0.5643,0.0000,PA
Distance,2.75,-5.0,0.2904,-0.3437,-0.3508,0.7113,1.3388,FailureType.no_failure,FailureType.omission,0.8175,FailureType.omission,-1,-1,0.36760000000000004,FailureType.no_failure,0.4089,FailureType.no_failure,0.5648,0.0000,0.8175,0.0000,0.5649,0.0000,PA
Distance,2.75,-5.0,0.2885,-0.3432,-0.365,0.7627,1.3348,FailureType.no_failure,FailureType.omission,0.7581,FailureType.omission,-1,-1,0.41950000000000004,FailureType.no_failure,0.1666,FailureType.no_failure,0.5648,0.0000,0.7581,0.0000,0.5648,0.0000,PA
Distance,2.75,-5.0,0.2847,-0.3423,-0.3813,0.8137,1.3308,FailureType.no_failure,FailureType.omission,0.7110,FailureType.omission,-1,-1,0.4714,FailureType.no_failure,0.4135,FailureType.no_failure,0.5725,0.0000,0.7110,0.0000,0.5725,0.0000,PA
Distance,2.75,-5.0,0.2841,-0.341,-0.397,0.8642,1.3269,FailureType.no_failure,FailureType.omission,0.6758,FailureType.omission,-1,-1,0.5231999999999999,FailureType.no_failure,0.2789,FailureType.no_failure,0.5788,0.0000,0.6758,0.0000,0.5788,0.0000,PA
Distance,2.75,-5.0,0.2386,-0.3335,-0.4077,0.8927,1.3238,FailureType.no_failure,FailureType.omission,0.4876,FailureType.omission,-1,-1,0.5592,FailureType.no_failure,0.3543,FailureType.no_failure,0.5886,0.0000,0.4876,0.0000,0.5886,0.0000,PA
Distance,2.75,-5.0,-0.1368,-0.301,-0.3927,0.8305,1.3243,FailureType.no_failure,FailureType.omission,-0.5353,FailureType.omission,-1,-1,0.5295000000000001,FailureType.no_failure,0.4437,FailureType.no_failure,0.5971,0.0000,0.4437,-0.5353,0.5971,0.0000,PA
Distance,2.75,-5.0,-0.6081,-0.2493,-0.3565,0.6948,1.3279,FailureType.no_failure,FailureType.omission,-2.2501,FailureType.omission,-1,-1,0.4455,FailureType.no_failure,0.3362,FailureType.no_failure,0.6025,0.0000,0.3362,-2.2501,0.6025,0.0000,SA
Distance,2.75,-5.0,-0.9273,-0.1838,-0.307,0.51,1.3338,FailureType.no_failure,FailureType.omission,-3.9986,FailureType.omission,-1,-1,0.32620000000000005,FailureType.no_failure,0.5924,FailureType.no_failure,0.6092,0.0000,0.5924,-3.9986,0.6092,0.0000,SA
Distance,2.75,-5.0,-1.1435,-0.1122,-0.2468,0.2923,1.3415,FailureType.no_failure,FailureType.omission,-5.5839,FailureType.omission,-1,-1,0.1801,FailureType.no_failure,0.3733,FailureType.no_failure,0.6106,0.0000,0.3733,-5.5839,0.6106,0.0000,SA
Distance,2.0,-3.5,0.3185,-0.0429,-0.0468,-0.1218,0.4555,FailureType.no_failure,FailureType.omission,0.9658,FailureType.omission,-1,-1,-0.1647,FailureType.no_failure,-1.2254,FailureType.no_failure,0.2975,0.0000,0.9658,-1.2254,0.2975,0.0000,NO
Distance,2.0,-3.5,0.316,-0.0709,-0.0617,-0.067,0.454,FailureType.no_failure,FailureType.omission,1.4370,FailureType.omission,-1,-1,-0.13790000000000002,FailureType.no_failure,-1.2241,FailureType.no_failure,0.2965,0.0000,1.4370,-1.2241,0.2965,0.0000,NO
Distance,2.0,-3.5,0.291,-0.1008,-0.0758,-0.0162,0.4526,FailureType.no_failure,FailureType.omission,1.7166,FailureType.omission,-1,-1,-0.11699999999999999,FailureType.no_failure,-1.2366,FailureType.no_failure,0.2962,0.0000,1.7166,-1.2366,0.2962,0.0000,NO
Distance,2.0,-3.5,0.2784,-0.1321,-0.0894,0.0325,0.4512,FailureType.no_failure,FailureType.omission,1.8629,FailureType.omission,-1,-1,-0.0996,FailureType.no_failure,-1.2341,FailureType.no_failure,0.2967,0.0000,1.8629,-1.2341,0.2967,0.0000,NO
Distance,2.0,-3.5,0.2709,-0.1646,-0.1028,0.0799,0.4498,FailureType.no_failure,FailureType.omission,1.9410,FailureType.omission,-1,-1,-0.0847,FailureType.no_failure,-1.2329,FailureType.no_failure,0.2976,0.0000,1.9410,-1.2329,0.5559,0.0000,NO
