Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5,0.3038,-0.1891,-0.1891,0.1281,-0.003,FailureType.no_failure,FailureType.no_failure,0.3105,FailureType.no_failure,0.5661,0.0000,FailureType.no_failure,0.3105,FailureType.no_failure,0.5661,0.0000,0.3105,0.0000,0.5661,0.0000,PA
Distance,2.75,-5,0.3021,-0.2053,-0.2053,0.1821,-0.005,FailureType.no_failure,FailureType.no_failure,0.2268,FailureType.no_failure,0.5706,0.0000,FailureType.no_failure,0.2268,FailureType.no_failure,0.5706,0.0000,0.2268,0.0000,0.5706,0.0000,PA
Distance,2.75,-5,0.3006,-0.2222,-0.2222,0.2357,-0.007,FailureType.no_failure,FailureType.no_failure,0.4356,FailureType.no_failure,0.5779,0.0000,FailureType.no_failure,0.4356,FailureType.no_failure,0.5779,0.0000,0.4356,0.0000,0.5779,0.0000,PA
Distance,2.75,-5,0.2989,-0.2383,-0.2383,0.2891,-0.0092,FailureType.no_failure,FailureType.no_failure,0.2224,FailureType.no_failure,0.5825,0.0000,FailureType.no_failure,0.2224,FailureType.no_failure,0.5825,0.0000,0.2224,0.0000,0.5825,0.0000,PA
Distance,2.75,-5,0.255,-0.2497,-0.2497,0.3205,-0.011,FailureType.no_failure,FailureType.no_failure,0.5217,FailureType.no_failure,0.5924,0.0000,FailureType.no_failure,0.5217,FailureType.no_failure,0.5924,0.0000,0.5217,0.0000,0.5924,0.0000,PA
Distance,2.75,-5,-0.042,-0.237,-0.237,0.2705,-0.0115,FailureType.no_failure,FailureType.no_failure,0.2864,FailureType.no_failure,0.5966,0.0000,FailureType.no_failure,0.2864,FailureType.no_failure,0.5966,0.0000,0.2864,0.0000,0.5966,0.0000,PA
Distance,2.75,-5,-0.2477,-0.2183,-0.2183,0.1946,-0.0115,FailureType.no_failure,FailureType.no_failure,0.5401,FailureType.no_failure,0.6052,0.0000,FailureType.no_failure,0.5401,FailureType.no_failure,0.6052,0.0000,0.5401,0.0000,0.6052,0.0000,PA
Distance,2.75,-5,-0.487,-0.1831,-0.1831,0.0639,-0.0105,FailureType.no_failure,FailureType.no_failure,0.4374,FailureType.no_failure,0.6094,0.0000,FailureType.no_failure,0.4374,FailureType.no_failure,0.6094,0.0000,0.4374,0.0000,0.6094,0.0000,PA
Distance,2.75,-5,-0.4358,-0.1539,-0.1539,-0.0463,-0.0097,FailureType.no_failure,FailureType.no_failure,0.5114,FailureType.no_failure,0.6149,0.0000,FailureType.no_failure,0.5114,FailureType.no_failure,0.6149,0.0000,0.5114,0.0000,0.6149,0.0000,PA
Distance,2.75,-5,-0.3772,-0.1361,-0.1361,-0.1139,-0.0094,FailureType.no_failure,FailureType.no_failure,0.6192,FailureType.no_failure,0.6185,0.0000,FailureType.no_failure,0.6192,FailureType.no_failure,0.6185,0.0000,0.6192,0.0000,0.6185,0.0000,PA
Distance,2.75,-5,0.0147,-0.1245,-0.1245,-0.1573,-0.0095,FailureType.no_failure,FailureType.no_failure,0.4987,FailureType.no_failure,0.6200,0.0000,FailureType.no_failure,0.4987,FailureType.no_failure,0.6200,0.0000,0.4987,0.0000,0.6200,0.0000,PA
Distance,2.75,-5,-0.1336,-0.1202,-0.1202,-0.1775,-0.0099,FailureType.no_failure,FailureType.no_failure,0.7537,FailureType.no_failure,0.6249,0.0000,FailureType.no_failure,0.7537,FailureType.no_failure,0.6249,0.0000,0.7537,0.0000,0.6249,0.0000,PA
Distance,2.75,-5,0.2081,-0.1162,-0.1162,-0.1938,-0.0103,FailureType.no_failure,FailureType.no_failure,0.5139,FailureType.no_failure,0.6268,0.0000,FailureType.no_failure,0.5139,FailureType.no_failure,0.6268,0.0000,0.5139,0.0000,0.6268,0.0000,PA
Distance,2.75,-5,0.0913,-0.1164,-0.1164,-0.2,-0.0109,FailureType.no_failure,FailureType.no_failure,0.8093,FailureType.no_failure,0.6341,0.0000,FailureType.no_failure,0.8093,FailureType.no_failure,0.6341,0.0000,0.8093,0.0000,0.6341,0.0000,PA
Distance,2.75,-5,0.2415,-0.1155,-0.1155,-0.2069,-0.0115,FailureType.no_failure,FailureType.no_failure,0.6028,FailureType.no_failure,0.6378,0.0000,FailureType.no_failure,0.6028,FailureType.no_failure,0.6378,0.0000,0.6028,0.0000,0.6378,0.0000,PA
Distance,2.75,-5,0.2892,-0.1161,-0.1161,-0.2121,-0.0121,FailureType.no_failure,FailureType.no_failure,0.7905,FailureType.no_failure,0.6451,0.0000,FailureType.no_failure,0.7905,FailureType.no_failure,0.6451,0.0000,0.7905,0.0000,0.6451,0.0000,PA
Distance,2.75,-5,0.2145,-0.1158,-0.1158,-0.2193,-0.0127,FailureType.no_failure,FailureType.no_failure,0.7543,FailureType.no_failure,0.6515,0.0000,FailureType.no_failure,0.7543,FailureType.no_failure,0.6515,0.0000,0.7543,0.0000,0.6515,0.0000,PA
Distance,2.75,-5,0.4147,-0.1146,-0.1146,-0.2298,-0.0133,FailureType.no_failure,FailureType.no_failure,0.7490,FailureType.no_failure,0.6577,0.0000,FailureType.no_failure,0.7490,FailureType.no_failure,0.6577,0.0000,0.7490,0.0000,0.6577,0.0000,PA
Distance,2.75,-5,0.1995,-0.1133,-0.1133,-0.2399,-0.0138,FailureType.no_failure,FailureType.no_failure,0.9196,FailureType.no_failure,0.6635,0.0000,FailureType.no_failure,0.9196,FailureType.no_failure,0.6635,0.0000,0.9196,0.0000,0.6635,0.0000,PA
Distance,2.75,-5,0.48,-0.1091,-0.1091,-0.2587,-0.0142,FailureType.no_failure,FailureType.no_failure,0.7442,FailureType.no_failure,0.6671,0.0000,FailureType.no_failure,0.7442,FailureType.no_failure,0.6671,0.0000,0.7442,0.0000,0.6671,0.0000,PA
Distance,2.75,-5,0.2201,-0.1058,-0.1058,-0.2761,-0.0145,FailureType.no_failure,FailureType.no_failure,1.0318,FailureType.no_failure,0.6727,0.0000,FailureType.no_failure,1.0318,FailureType.no_failure,0.6727,0.0000,1.0318,0.0000,0.6727,0.0000,PA
Distance,2.75,-5,0.4597,-0.098,-0.098,-0.3042,-0.0147,FailureType.no_failure,FailureType.no_failure,0.8041,FailureType.no_failure,0.6728,0.0000,FailureType.no_failure,0.8041,FailureType.no_failure,0.6728,0.0000,0.8041,0.0000,0.6728,0.0000,PA
Distance,2.75,-5,0.2952,-0.0919,-0.0919,-0.3323,-0.0147,FailureType.no_failure,FailureType.no_failure,1.0769,FailureType.no_failure,0.6793,0.0000,FailureType.no_failure,1.0769,FailureType.no_failure,0.6793,0.0000,1.0769,0.0000,0.6793,0.0000,PA
Distance,2.75,-5,0.3766,-0.0828,-0.0828,-0.3678,-0.0147,FailureType.no_failure,FailureType.no_failure,0.9172,FailureType.no_failure,0.6822,0.0000,FailureType.no_failure,0.9172,FailureType.no_failure,0.6822,0.0000,0.9172,0.0000,0.6822,0.0000,PA
Distance,2.75,-5,0.4181,-0.0737,-0.0737,-0.4066,-0.0145,FailureType.no_failure,FailureType.no_failure,1.0299,FailureType.no_failure,0.6883,0.0000,FailureType.no_failure,1.0299,FailureType.no_failure,0.6883,0.0000,1.0299,0.0000,0.6883,0.0000,PA
Distance,2.75,-5,0.2926,-0.063,-0.063,-0.4505,-0.0142,FailureType.no_failure,FailureType.no_failure,1.0888,FailureType.no_failure,0.6937,0.0000,FailureType.no_failure,1.0888,FailureType.no_failure,0.6937,0.0000,1.0888,0.0000,0.6937,0.0000,PA
Distance,2.75,-5,0.5002,-0.0497,-0.0497,-0.5001,-0.0137,FailureType.no_failure,FailureType.no_failure,0.9710,FailureType.no_failure,0.6955,0.0000,FailureType.no_failure,0.9710,FailureType.no_failure,0.6955,0.0000,0.9710,0.0000,0.6955,0.0000,PA
Distance,2.75,-5,0.2583,-0.0361,-0.0361,-0.5507,-0.0132,FailureType.no_failure,FailureType.no_failure,1.1271,FailureType.no_failure,0.6975,0.0000,FailureType.no_failure,1.1271,FailureType.no_failure,0.6975,0.0000,1.1271,0.0000,0.6975,0.0000,PA
Distance,2.75,-5,0.5301,-0.0187,-0.0187,-0.6111,-0.0124,FailureType.no_failure,FailureType.no_failure,0.9501,FailureType.no_failure,0.6953,0.0000,FailureType.no_failure,0.9501,FailureType.no_failure,0.6953,0.0000,0.9501,0.0000,0.6953,0.0000,PA
Distance,2.75,-5,0.2818,-0.0009,-0.0009,-0.6706,-0.0116,FailureType.no_failure,FailureType.no_failure,1.0900,FailureType.no_failure,0.6907,0.0000,FailureType.no_failure,1.0900,FailureType.no_failure,0.6907,0.0000,1.0900,0.0000,0.6907,0.0000,PA
Distance,2.75,-5,0.4809,0.0197,0.0197,-0.7401,-0.0105,FailureType.no_failure,FailureType.no_failure,1.0488,FailureType.no_failure,0.6859,0.0000,FailureType.no_failure,1.0488,FailureType.no_failure,0.6859,0.0000,1.0488,0.0000,0.6859,0.0000,PA
Distance,2.75,-5,0.3772,0.0405,0.0405,-0.811,-0.0092,FailureType.no_failure,FailureType.no_failure,1.1147,FailureType.no_failure,0.6819,0.0000,FailureType.no_failure,1.1147,FailureType.no_failure,0.6819,0.0000,1.1147,0.0000,0.6819,0.0000,PA
Distance,2.75,-5,0.3934,0.0622,0.0622,-0.887,-0.0078,FailureType.no_failure,FailureType.no_failure,1.1502,FailureType.no_failure,0.6800,0.0000,FailureType.no_failure,1.1502,FailureType.no_failure,0.6800,0.0000,1.1502,0.0000,0.6800,0.0000,PA
Distance,2.75,-5,0.4957,0.0846,0.0846,-0.9685,-0.0061,FailureType.no_failure,FailureType.no_failure,1.1510,FailureType.no_failure,0.6807,0.0000,FailureType.no_failure,1.1510,FailureType.no_failure,0.6807,0.0000,1.1510,0.0000,0.6807,0.0000,PA
Distance,2.75,-5,0.3164,0.1072,0.1072,-1.0526,-0.0042,FailureType.no_failure,FailureType.no_failure,1.1371,FailureType.no_failure,0.6835,0.0000,FailureType.no_failure,1.1371,FailureType.no_failure,0.6835,0.0000,1.1371,0.0000,0.6835,0.0000,PA
Distance,2.75,-5,0.5633,0.1315,0.1315,-1.1438,-0.0021,FailureType.no_failure,FailureType.no_failure,1.1249,FailureType.no_failure,0.6873,0.0000,FailureType.no_failure,1.1249,FailureType.no_failure,0.6873,0.0000,1.1249,0.0000,0.6873,0.0000,PA
Distance,2.75,-5,0.3058,0.1556,0.1556,-1.2342,0.0002,FailureType.no_failure,FailureType.no_failure,1.1234,FailureType.no_failure,0.6908,0.0000,FailureType.no_failure,1.1234,FailureType.no_failure,0.6908,0.0000,1.1234,0.0000,0.6908,0.0000,PA
Distance,2.75,-5,0.5633,0.1831,0.1831,-1.3354,0.0028,FailureType.no_failure,FailureType.no_failure,1.1257,FailureType.no_failure,0.6930,0.0000,FailureType.no_failure,1.1257,FailureType.no_failure,0.6930,0.0000,1.1257,0.0000,0.6930,0.0000,PA
Distance,2.75,-5,0.3738,0.2111,0.2111,-1.4365,0.0057,FailureType.no_failure,FailureType.no_failure,1.1341,FailureType.no_failure,0.6933,0.0000,FailureType.no_failure,1.1341,FailureType.no_failure,0.6933,0.0000,1.1341,0.0000,0.6933,0.0000,PA
Distance,2.75,-5,0.4695,0.2416,0.2416,-1.5447,0.0088,FailureType.no_failure,FailureType.no_failure,1.1398,FailureType.no_failure,0.6918,0.0000,FailureType.no_failure,1.1398,FailureType.no_failure,0.6918,0.0000,1.1398,0.0000,0.6918,0.0000,PA
Distance,2.75,-5,0.5058,0.2733,0.2733,-1.6561,0.0122,FailureType.no_failure,FailureType.no_failure,1.1528,FailureType.no_failure,0.6891,0.0000,FailureType.no_failure,1.1528,FailureType.no_failure,0.6891,0.0000,1.1528,0.0000,0.6891,0.0000,PA
Distance,2.75,-5,0.3621,0.3051,0.3051,-1.7679,0.0158,FailureType.no_failure,FailureType.no_failure,1.1520,FailureType.no_failure,0.6861,0.0000,FailureType.no_failure,1.1520,FailureType.no_failure,0.6861,0.0000,1.1520,0.0000,0.6861,0.0000,PA
Distance,2.75,-5,0.5051,0.338,0.338,-1.884,0.0197,FailureType.no_failure,FailureType.no_failure,1.1484,FailureType.no_failure,0.6839,0.0000,FailureType.no_failure,1.1484,FailureType.no_failure,0.6839,0.0000,1.1484,0.0000,0.6839,0.0000,PA
Distance,2.75,-5,0.3038,0.3702,0.3702,-1.9991,0.0239,FailureType.no_failure,FailureType.no_failure,1.1436,FailureType.no_failure,0.6830,0.0000,FailureType.no_failure,1.1436,FailureType.no_failure,0.6830,0.0000,1.1436,0.0000,0.6830,0.0000,PA
Distance,2.75,-5,0.4292,0.402,0.402,-2.1139,0.0283,FailureType.no_failure,FailureType.no_failure,1.1337,FailureType.no_failure,0.6836,0.0000,FailureType.no_failure,1.1337,FailureType.no_failure,0.6836,0.0000,1.1337,0.0000,0.6836,0.0000,PA
Distance,2.75,-5,0.3907,0.4334,0.4334,-2.2289,0.0329,FailureType.no_failure,FailureType.no_failure,1.1286,FailureType.no_failure,0.6854,0.0000,FailureType.no_failure,1.1286,FailureType.no_failure,0.6854,0.0000,1.1286,0.0000,0.6854,0.0000,PA
Distance,2.75,-5,0.4421,0.4645,0.4645,-2.3432,0.0378,FailureType.no_failure,FailureType.no_failure,1.1212,FailureType.no_failure,0.6876,0.0000,FailureType.no_failure,1.1212,FailureType.no_failure,0.6876,0.0000,1.1212,0.0000,0.6876,0.0000,PA
Distance,2.75,-5,0.5013,0.4956,0.4956,-2.457,0.0429,FailureType.no_failure,FailureType.no_failure,1.1224,FailureType.no_failure,0.6896,0.0000,FailureType.no_failure,1.1224,FailureType.no_failure,0.6896,0.0000,1.1224,0.0000,0.6896,0.0000,PA
Distance,2.75,-5,0.513,0.5267,0.5267,-2.5702,0.0482,FailureType.no_failure,FailureType.no_failure,1.1249,FailureType.no_failure,0.6908,0.0000,FailureType.no_failure,1.1249,FailureType.no_failure,0.6908,0.0000,1.1249,0.0000,0.6908,0.0000,PA
Distance,2.75,-5,0.5226,0.558,0.558,-2.6827,0.0537,FailureType.no_failure,FailureType.no_failure,1.1288,FailureType.no_failure,0.6908,0.0000,FailureType.no_failure,1.1288,FailureType.no_failure,0.6908,0.0000,1.1288,0.0000,0.6908,0.0000,PA
Distance,2.75,-5,0.5168,0.5893,0.5893,-2.7945,0.0594,FailureType.no_failure,FailureType.no_failure,1.1438,FailureType.no_failure,0.6898,0.0000,FailureType.no_failure,1.1438,FailureType.no_failure,0.6898,0.0000,1.1438,0.0000,0.6898,0.0000,PA
Distance,2.75,-5,0.5251,0.6206,0.6206,-2.9056,0.0653,FailureType.no_failure,FailureType.no_failure,1.1389,FailureType.no_failure,0.6882,0.0000,FailureType.no_failure,1.1389,FailureType.no_failure,0.6882,0.0000,1.1389,0.0000,0.6882,0.0000,PA
Distance,2.75,-5,0.5237,0.6517,0.6517,-3.0159,0.0714,FailureType.no_failure,FailureType.no_failure,1.1464,FailureType.no_failure,0.6865,0.0000,FailureType.no_failure,1.1464,FailureType.no_failure,0.6865,0.0000,1.1464,0.0000,0.6865,0.0000,PA
Distance,2.75,-5,0.5283,0.6825,0.6825,-3.1254,0.0777,FailureType.no_failure,FailureType.no_failure,1.1365,FailureType.no_failure,0.6853,0.0000,FailureType.no_failure,1.1365,FailureType.no_failure,0.6853,0.0000,1.1365,0.0000,0.6853,0.0000,PA
Distance,2.75,-5,0.529,0.7128,0.7128,-3.2342,0.0842,FailureType.no_failure,FailureType.no_failure,1.1438,FailureType.no_failure,0.6849,0.0000,FailureType.no_failure,1.1438,FailureType.no_failure,0.6849,0.0000,1.1438,0.0000,0.6849,0.0000,PA
Distance,2.75,-5,0.5319,0.7427,0.7427,-3.3422,0.0909,FailureType.no_failure,FailureType.no_failure,1.1314,FailureType.no_failure,0.6854,0.0000,FailureType.no_failure,1.1314,FailureType.no_failure,0.6854,0.0000,1.1314,0.0000,0.6854,0.0000,PA
Distance,2.75,-5,0.5385,0.7722,0.7722,-3.4494,0.0978,FailureType.no_failure,FailureType.no_failure,1.1287,FailureType.no_failure,0.6864,0.0000,FailureType.no_failure,1.1287,FailureType.no_failure,0.6864,0.0000,1.1287,0.0000,0.6864,0.0000,PA
Distance,2.75,-5,0.5464,0.8014,0.8014,-3.556,0.1049,FailureType.no_failure,FailureType.no_failure,1.1263,FailureType.no_failure,0.6877,0.0000,FailureType.no_failure,1.1263,FailureType.no_failure,0.6877,0.0000,1.1263,0.0000,0.6877,0.0000,PA
Distance,2.75,-5,0.5403,0.8305,0.8305,-3.6618,0.1123,FailureType.no_failure,FailureType.no_failure,1.1238,FailureType.no_failure,0.6889,0.0000,FailureType.no_failure,1.1238,FailureType.no_failure,0.6889,0.0000,1.1238,0.0000,0.6889,0.0000,PA
Distance,2.75,-5,0.5429,0.8595,0.8595,-3.7669,0.1198,FailureType.no_failure,FailureType.no_failure,1.1312,FailureType.no_failure,0.6895,0.0000,FailureType.no_failure,1.1312,FailureType.no_failure,0.6895,0.0000,1.1312,0.0000,0.6895,0.0000,PA
Distance,2.75,-5,0.5518,0.8885,0.8885,-3.8714,0.1275,FailureType.no_failure,FailureType.no_failure,1.1338,FailureType.no_failure,0.6894,0.0000,FailureType.no_failure,1.1338,FailureType.no_failure,0.6894,0.0000,1.1338,0.0000,0.6894,0.0000,PA
Distance,2.75,-5,0.5556,0.9175,0.9175,-3.9751,0.1354,FailureType.no_failure,FailureType.no_failure,1.1339,FailureType.no_failure,0.6888,0.0000,FailureType.no_failure,1.1339,FailureType.no_failure,0.6888,0.0000,1.1339,0.0000,0.6888,0.0000,PA
