Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.4053,-0.3127,8.3909,0.1213,0.1213,0.0000,8.2026,-0.1883,16.5265,FailureType.no_failure,0.0512,FailureType.no_failure,0.5171,0.0000,16.5265,FailureType.no_failure,0.0512,FailureType.no_failure,0.5171,0.0000,0.0512,0.0000,0.5171,0.0000,60.0,NO
Distance,2.75,-5,16.4052,-0.0419,8.3970,0.1215,0.1215,0.0000,8.2026,-0.1944,16.5267,FailureType.no_failure,0.0345,FailureType.no_failure,0.5164,0.0000,16.5267,FailureType.no_failure,0.0345,FailureType.no_failure,0.5164,0.0000,0.0345,0.0000,0.5164,0.0000,60.0,NO
Distance,2.75,-5,16.4136,0.1430,8.4029,0.1134,0.1134,0.0000,8.2068,-0.1961,16.5270,FailureType.no_failure,0.0412,FailureType.no_failure,0.5153,0.0000,16.5270,FailureType.no_failure,0.0412,FailureType.no_failure,0.5153,0.0000,0.0412,0.0000,0.5153,0.0000,60.0,NO
Distance,2.75,-5,16.4280,0.2808,8.4081,0.0993,0.0993,0.0000,8.2140,-0.1941,16.5274,FailureType.no_failure,0.0426,FailureType.no_failure,0.5141,0.0000,16.5274,FailureType.no_failure,0.0426,FailureType.no_failure,0.5141,0.0000,0.0426,0.0000,0.5141,0.0000,60.0,NO
Distance,2.75,-5,16.4466,0.3653,8.4125,0.0806,0.0806,0.0000,8.2233,-0.1892,16.5272,FailureType.no_failure,0.0448,FailureType.no_failure,0.5146,0.0000,16.5272,FailureType.no_failure,0.0448,FailureType.no_failure,0.5146,0.0000,0.0448,0.0000,0.5146,0.0000,60.0,NO
Distance,2.75,-5,16.4677,0.4400,8.4158,0.0594,0.0594,0.0000,8.2339,-0.1820,16.5271,FailureType.no_failure,0.0289,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0289,FailureType.no_failure,0.5151,0.0000,0.0289,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.4910,0.4997,8.4181,0.0360,0.0360,0.0000,8.2455,-0.1725,16.5270,FailureType.no_failure,0.0401,FailureType.no_failure,0.5154,0.0000,16.5270,FailureType.no_failure,0.0401,FailureType.no_failure,0.5154,0.0000,0.0401,0.0000,0.5154,0.0000,60.0,NO
Distance,2.75,-5,16.5158,0.5178,8.4191,0.0112,0.0112,0.0000,8.2579,-0.1612,16.5270,FailureType.no_failure,0.0427,FailureType.no_failure,0.5154,0.0000,16.5270,FailureType.no_failure,0.0427,FailureType.no_failure,0.5154,0.0000,0.0427,0.0000,0.5154,0.0000,60.0,NO
Distance,2.75,-5,16.5415,0.5421,8.4188,-0.0149,-0.0149,0.0000,8.2708,-0.1481,16.5266,FailureType.no_failure,0.0285,FailureType.no_failure,0.5167,0.0000,16.5266,FailureType.no_failure,0.0285,FailureType.no_failure,0.5167,0.0000,0.0285,0.0000,0.5167,0.0000,60.0,NO
Distance,2.75,-5,16.5678,0.5614,8.4173,-0.0413,-0.0413,0.0000,8.2839,-0.1334,16.5265,FailureType.no_failure,0.0370,FailureType.no_failure,0.5172,0.0000,16.5265,FailureType.no_failure,0.0370,FailureType.no_failure,0.5172,0.0000,0.0370,0.0000,0.5172,0.0000,60.0,NO
Distance,2.75,-5,16.5941,0.5621,8.4146,-0.0675,-0.0675,0.0000,8.2970,-0.1175,16.5266,FailureType.no_failure,0.0391,FailureType.no_failure,0.5168,0.0000,16.5266,FailureType.no_failure,0.0391,FailureType.no_failure,0.5168,0.0000,0.0391,0.0000,0.5168,0.0000,60.0,NO
Distance,2.75,-5,16.6207,0.5709,8.4104,-0.0938,-0.0938,0.0000,8.3103,-0.1001,16.5269,FailureType.no_failure,0.0368,FailureType.no_failure,0.5159,0.0000,16.5269,FailureType.no_failure,0.0368,FailureType.no_failure,0.5159,0.0000,0.0368,0.0000,0.5159,0.0000,60.0,NO
Distance,2.75,-5,16.6474,0.5664,8.4049,-0.1206,-0.1206,0.0000,8.3237,-0.0812,16.5268,FailureType.no_failure,0.0498,FailureType.no_failure,0.5161,0.0000,16.5268,FailureType.no_failure,0.0498,FailureType.no_failure,0.5161,0.0000,0.0498,0.0000,0.5161,0.0000,60.0,NO
Distance,2.75,-5,16.6742,0.5832,8.3982,-0.1473,-0.1473,0.0270,8.3371,-0.0611,16.5269,FailureType.no_failure,0.0354,FailureType.no_failure,0.5158,0.0000,16.5269,FailureType.no_failure,0.0354,FailureType.no_failure,0.5158,0.0000,0.0354,0.0000,0.5158,0.0000,60.0,NO
Distance,2.75,-5,16.7005,0.5679,8.3901,-0.1735,-0.1735,0.1219,8.3503,-0.0398,16.5271,FailureType.no_failure,0.0391,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0391,FailureType.no_failure,0.5151,0.0000,0.0391,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.7269,0.5571,8.3807,-0.1997,-0.1997,0.2169,8.3635,-0.0172,16.5273,FailureType.no_failure,0.0451,FailureType.no_failure,0.5144,0.0000,16.5273,FailureType.no_failure,0.0451,FailureType.no_failure,0.5144,0.0000,0.0451,0.0000,0.5144,0.0000,60.0,NO
Distance,2.75,-5,16.7473,0.5447,8.3699,-0.2199,-0.2199,0.2903,8.3737,0.0037,16.5274,FailureType.no_failure,0.0481,FailureType.no_failure,0.5138,0.0000,16.5274,FailureType.no_failure,0.0481,FailureType.no_failure,0.5138,0.0000,0.0481,0.0000,0.5138,0.0000,60.0,NO
Distance,2.75,-5,16.7321,0.0563,8.3591,-0.2050,-0.2050,0.2355,8.3660,0.0069,16.5271,FailureType.no_failure,0.0359,FailureType.no_failure,0.5150,0.0000,16.5271,FailureType.no_failure,0.0359,FailureType.no_failure,0.5150,0.0000,0.0359,0.0000,0.5150,0.0000,60.0,NO
Distance,2.75,-5,16.6788,-0.7612,8.3504,-0.1520,-0.1520,0.0437,8.3394,-0.0110,16.5269,FailureType.no_failure,0.0281,FailureType.no_failure,0.5159,0.0000,16.5269,FailureType.no_failure,0.0281,FailureType.no_failure,0.5159,0.0000,0.0281,0.0000,0.5159,0.0000,60.0,NO
Distance,2.75,-5,16.6007,-1.3301,8.3451,-0.0740,-0.0740,0.0000,8.3004,-0.0447,16.5267,FailureType.no_failure,0.0357,FailureType.no_failure,0.5163,0.0000,16.5267,FailureType.no_failure,0.0357,FailureType.no_failure,0.5163,0.0000,0.0357,0.0000,0.5163,0.0000,60.0,NO
Distance,2.75,-5,16.5097,-1.7089,8.3441,0.0171,0.0171,0.0000,8.2548,-0.0893,16.5268,FailureType.no_failure,0.0321,FailureType.no_failure,0.5162,0.0000,16.5268,FailureType.no_failure,0.0321,FailureType.no_failure,0.5162,0.0000,0.0321,0.0000,0.5162,0.0000,60.0,NO
Distance,2.75,-5,16.4289,-1.7010,8.3475,0.0977,0.0977,0.0000,8.2144,-0.1331,16.5265,FailureType.no_failure,0.0478,FailureType.no_failure,0.5170,0.0000,16.5265,FailureType.no_failure,0.0478,FailureType.no_failure,0.5170,0.0000,0.0478,0.0000,0.5170,0.0000,60.0,NO
Distance,2.75,-5,16.3759,-1.2367,8.3542,0.1506,0.1506,0.0000,8.1880,-0.1662,16.5265,FailureType.no_failure,0.0317,FailureType.no_failure,0.5170,0.0000,16.5265,FailureType.no_failure,0.0317,FailureType.no_failure,0.5170,0.0000,0.0317,0.0000,0.5170,0.0000,60.0,NO
